TV,Radio,Newspaper,Predicted_Sales
0.0,0.0,200.0,9.786920482354681
0.0,20.0,180.0,8.782412673907496
0.0,40.0,160.0,8.387176095007218
0.0,60.0,140.0,8.601210745653841
0.0,80.0,120.0,9.424516625847371
0.0,100.0,100.0,10.8570937355878
0.0,120.0,80.0,12.898942074875135
0.0,140.0,60.0,15.550061643709379
0.0,160.0,40.0,18.810452442090515
0.0,180.0,20.0,22.68011447001856
0.0,200.0,0.0,27.159047727493512
20.0,0.0,180.0,9.879117555365674
20.0,20.0,160.0,9.501615166363678
20.0,40.0,140.0,9.733384006908585
20.0,60.0,120.0,10.574424077000398
20.0,80.0,100.0,12.024735376639113
20.0,100.0,80.0,14.08431790582473
20.0,120.0,60.0,16.75317166455725
20.0,140.0,40.0,20.031296652836676
20.0,160.0,20.0,23.918692870663
20.0,180.0,0.0,28.415360318036235
40.0,0.0,160.0,9.964723653881519
40.0,20.0,140.0,10.214226684324709
40.0,40.0,120.0,11.073000944314805
40.0,60.0,100.0,12.541046433851804
40.0,80.0,80.0,14.618363152935704
40.0,100.0,60.0,17.30495110156651
40.0,120.0,40.0,20.60081027974422
40.0,140.0,20.0,24.505940687468833
40.0,160.0,0.0,29.020342324740348
60.0,0.0,140.0,10.043738777902217
60.0,20.0,120.0,10.920247227790593
60.0,40.0,100.0,12.406026907225876
60.0,60.0,80.0,14.501077816208063
60.0,80.0,60.0,17.20539995473715
60.0,100.0,40.0,20.518993322813145
60.0,120.0,20.0,24.441857920436043
60.0,140.0,0.0,28.97399374760584
80.0,0.0,120.0,10.116162927427766
80.0,20.0,100.0,11.619676796761329
80.0,40.0,80.0,13.7324618956418
80.0,60.0,60.0,16.454518224069172
80.0,80.0,40.0,19.785845782043445
80.0,100.0,20.0,23.726444569564627
80.0,120.0,0.0,28.276314586632708
100.0,0.0,100.0,10.181996102458164
100.0,20.0,80.0,12.312515391236918
100.0,40.0,60.0,15.052305909562573
100.0,60.0,40.0,18.401367657435134
100.0,80.0,20.0,22.359700634854597
100.0,100.0,0.0,26.927304841820963
120.0,0.0,80.0,10.241238302993416
120.0,20.0,60.0,12.998763011217356
120.0,40.0,40.0,16.3655589489882
120.0,60.0,20.0,20.341626116305946
120.0,80.0,0.0,24.9269645131706
140.0,0.0,60.0,10.29388952903352
140.0,20.0,40.0,13.678419656702646
140.0,40.0,20.0,17.672221013918676
140.0,60.0,0.0,22.275293600681614
160.0,0.0,40.0,10.339949780578475
160.0,20.0,20.0,14.351485327692789
160.0,40.0,0.0,18.972292104354008
180.0,0.0,20.0,10.379419057628283
180.0,20.0,0.0,15.017960024187783
200.0,0.0,0.0,10.41229736018294
